CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
03011190,"Outros peixes ornamentais, vivos, de água doce","Other ornamental fish, live, freshwater","Otros peces ornamentales, vivos, de agua dulce","D'autres poissons d'ornement, vivent, en eau douce"
03011900,Outros peixes ornamentais vivos,"Other ornamental fish, live","Otros peces ornamentales, vivos",Autres poissons d'ornement vivants
03019110,"Trutas (Salmo trutta e oncorhynchus), para reprodução","Trout (salmo trutta oncorhynchus), for breeding","Truchas(salmo trutta y oncorhynchus), p/reproducción","Trout (Salmo trutta et oncorhynchus), pour se reproduire"
03019190,"Outras trutas (Salmo trutta e Oncorhynchus), vivas",Other live trout (salmo trutta oncorhynchus),Las dem.truchas (salmo trutta y oncorhynchus) vivas,"Autres truites (Salmo trutta et Oncorhynchus), vivants"
03019210,Enguias (anguilla spp.) para reprodução,Live eels (anguilla spp.) for breeding,Anguilas (anguilla spp.) para reproducción,"Anguilles (Anguilla spp.), pour reproduire"
03019290,Outras enguias (anguilla spp.) vivas,Other live eels  (anguillas spp.),Las dem.anguilas (anguillas spp.) vivas,"Autres anguilles (Anguilla spp.), vivants"
03019310,Carpas para reprodução,Carp for breeding,Carpas para reproducción,Carp pour la reproduction
03019390,Outras carpas vivas,Other live carp,Las demás carpas vivas,Autres carpes vivantes
03019410,Albacoras-azuis (Thunnus thynnus) para reprodução,"Blue yellowfin (thunnus thynnus), for breeding",Amarilla (thunnus thynnus) for breeding,Albacoras-bleu (Thunnus thynnus) pour la lecture
03019490,Outros albacoras-azuis (Thunnus thynnus) para reprodução,Others blue yellowfin (thunnys thynnus) for breeding,Otros amarillas (thunnus thynnus) for breeding,Autres albacoras-bleu (Thunnus thynnus) pour la lecture
03019510,Outros peixes para reprodução,Other breeding fish,Otros peces para reproducción,Autres poissons d'élevage
03019590,Outros peixes vivos,"Other fishes, alive","Otros peces, vivos",Autres poissons vivants
03019910,Outros peixes para reprodução,"Other fish, for breeding",Otros peces para reproducción,Autres poissons d'élevage
03019911,"Tilápias, peixes para reprodução","Tilapias, fishes for breeding",Tilapia. peces para reproduccion,"Tilapia, le poisson d'élevage"
03019912,"Esturjões, peixes para reprodução","Sturgeons, fishes for breeding","Esturiones, peces para reproduccion","Sturgeon, poissons pour la reproduction"
03019919,Outros peixes para reprodução,"Other fish, for breeding",Otros peces para reproducción,Autres poissons d'élevage
03019990,Outros peixes vivos,Other live fish,Otros peces vivos,Autres poissons vivants
03019991,"Outros peixes tilápias, vivos","Other tilapia fishes, alive","Otros peces tilapia, vivos","Autres poissons de tilapia (Tilapia rendalli) , vivre"
03019992,"Outros peixes esturjões, vivos","Other sturgeon fishes, alive","Otros peces esturiones, vivos","Autres esturgeons, vivent"
03019999,Outros peixes vivos,Other live fish,Los demás peces vivos,Autres poissons vivants
03021100,"Trutas frescas, refrigeradas, exceto filés, outras carnes, fígados, etc","Fresh or chilled trout exc.filets, oth.meat liver, etc.","Truchas fresc.refrig.exc.filetes, dem.carnes, hígados, etc","Truites fraîches, réfrigérées, à l'exclusion des filets, les autres viandes, le foie, etc."
03021200,"Salmões-do-pacífico, etc, frescos, refrigerados, exceto filés, etc.","Fresh or chilled pacific salmon, etc.except filets, etc.","Salmones del pacífico, etc, fresc.refrig.exc.filetes, etc","Saumon du Pacifique, etc, sauf filets, frais ou réfrigérés, etc"
03021300,"Salmões-do-pacifico (oncorhynchus nerka, etc), fresco ou refrigerado","Pacific salmon, fresh or chilled","Salmón del pacífico, frescos o refrigerados","Saumon du Pacifique (Oncorhynchus nerka, etc), frais ou réfrigérés"
03021400,"Salmão-do-atlantico e salmão-do-danubio, fresco ou refrigerado","Atlantic salmon and danube salmon, fresh or chilled","Salmón del atlántico y salmon del danubio, fr/ref.","Saumon d'Atlantique et saumon Danube, frais ou réfrigérés"
03021900,"Outros salmonídeos frescos, refrigerados, exceto filés, etc.","Other fresh or chilled salmonidae exc.fish filets, etc.","Los dem.salmónidos frescos, refrigerados, exc.filetes, etc","Autres salmonidés, frais, réfrigérés, à l'exception des steaks, etc."
03022100,"Linguados-gigantes, frescos, refrig.exceto filés, etc.","Fresh/chilled halibut exc.filets, etc.","Lenguados gigantes, frescos, refrigerados, exc.filetes, etc","Linguados (Paralichtys brasiliensis), frais, réfrigérés, l'exclusion des filets, etc."
03022200,"Solhas ou patrucas, frescas, refrigeradas, exceto filés, etc.","Fresh/chilled plaice exc.filets, etc.","Sollas, frescas, refrigeradas, excepto filetes, etc","Teleósteos pleuronectiformes, fraîches, réfrigérées, à l'exclusion des filets, etc."
03022300,"Linguados frescos, refrigerados, exceto filés, outras carnes, etc.","Fresh/chilled sole exc.fish filets, oth.fish meat, etc","Lenguados frescos, refriger.exc.filetes, dem.carnes, etc","Linguado (Paralichthys brasiliensis) frais, réfrigérés, à l'exclusion des filets, les autres viandes, etc."
03022400,"Pregado (Psetta maxima), fresco ou refrigerado","Turbot (psetta maxima), fresh or chilled","Rodaballo (psetta maxima), fresco o refrigerado","Pregado (Psetta maxima), frais ou réfrigérés"
03022900,"Outros peixes chatos, frescos, refrigerados, exceto filés, etc.","Other fresh/chilled flat fish exc.fish filets, etc.","Los dem.pescados planos, frescos, refrig.exc.filetes, etc","Autres poissons plats, frais, réfrigérés, l'exclusion des filets, etc."
03023100,"Atuns-brancos ou germões, frescos/refrigerados, exceto filés, etc","Fresh/chilled tunas or skipjack exc.fish filets, etc.","Albacoras o atunes blancos, fresc/refr.exc.filetes, etc","Thon blanc, frais/réfrigérés, l'exclusion des filets, etc."
03023200,"Albacoras/atuns barbatana amarela, frescas/refrigerado, exceto filés",Fresh/chilled yellowfin tunas exc.fish filets,"Atunes de aleta amarilla, fresc/refr.exc.filetes","Albacoras (genre Thunnus)/du thon avec des nageoires jaunes, frais/ réfrigérés, à l'exclusion de filets"
03023300,"Bonitos-listrados, etc, frescos, refrigerados, exceto filés, etc.","Fresh/chilled skipjack, etc.exc.fish filets, etc.","Listados o bonitos, etc, frescos, refriger.exc.filetes, etc","Belle-rayures (teleósteos perciformes), etc, fraîches, réfrigérées, à l'exclusion des filets, etc."
03023400,"Albacoras-bandolim (patudos) frescos, refrigerados","Fresh or chilled bigeye tunas ""thunnus obesus""","Patudos o atunes ojos grandes, frescos, refrigerados","Albacora-mandoline, fraîches, réfrigérées"
03023500,"Albacoras-azuis (atuns-azuis) frescos, refrigerados","Fresh/chilled bluefin tunas ""thunnus thynnus""","Atunes de aleta azul, frescos, refrigerados","Thon bleu, frais, réfrigérés"
03023600,Atuns do sul frescos ou refrigerados,Fresh/chilled southern bluefin tunas,"Atunes del sur,  frescos o refrigerados","Thons du sud, frais ou réfrigérés"
03023900,"Outros atuns frescos, refrigerados, exceto filés, outras carnes, etc.","Other fresh/chilled tunas, exc.fish filets oth.fish meat,","Los dem.atunes frescos, refr.exc.filetes, dem.carnes, etc","Autres thons frais, réfrigéré, à l'exclusion des filets, les autres viandes, etc."
03024000,"Arenques frescos/refrigerados, exceto filés, outras carnes, etc","Fresh/chilled herrings, exc.fish filets oth.fish meat,","Arenques frescos/refriger.exc.filetes, dem.carnes, etc","Hareng frais/réfrigérés, à l'exception des steaks, des autres viandes, etc."
03024100,"Arenques (Clupea harengus, Clupea pallasii), fresco ou refrigerado","Herring(clupea harengus,clupea pallasii), fresh/chilled","Arenque(clupea harengus,clupea pallasii), fresco/refri.","Harengs (Clupea harengus, Clupea pallasii), frais ou réfrigérés"
03024210,"Anchoita (Engraulis anchoita), frescas ou refrigeradas","Anchoita (engraulis anchoita), fresh or frozen","Anchoita (engraulis anchoita), frescas o refrigeradas","Anchoita (Engraulis anchoita), frais ou réfrigérés"
03024290,"Outras anchovas, frescas ou refrigeradas","Other anchovies, fresh or chilled","Otras anchoas, frescas o refrigeradas","Autres anchois, frais ou réfrigérés"
03024300,"Sardinhas (sardina pilchardus, etc), anchoveta, fresca ou refrigerada","Sardines (sardina pilchardus, etc), fresh or chilled","Sardinas (sardina pilchardus, etc),fresca o refrigerada","Sardines (Sardina pilchardus, etc.), l'anchois, frais ou réfrigérés"
03024400,"Cavalinhas, frescas ou refrigeradas","Cavalinhas, fresh or frozen","Cavalinhas, frescas o refrigeradas","Cavalinhas (Thyrsitops lepidopoides), fraîches, réfrigérées"
03024500,"Chicharros (trachurus spp.), frescos ou refrigerados","Horse mackerel (trachurus spp.), fresh or chilled","Chicharros (trachurus spp.), frescos o refrigerados","Chicarros (Trachurus espèces), frais ou réfrigérés"
03024600,"Bijupira (Rachycentron canadum), fresco ou refrigerado","Cobia (rachycentron canadum), fresh or chilled","Cobia (rachycentron canadum), fresco o refrigerado","Bijupira (Rachycentron canadum), frais ou réfrigérés"
03024700,"Espadarte (Xiphias gladius), frescos ou refrigerados","Swordfish (xiphias gladius), fresh or chilled","Pez espada (xiphias gladius), frescos o refrigerados","Espadon (Xiphias gladius), frais ou réfrigérés"
03024910,"Espadins, marlins, veleiros (Istiophoridae), frescos ou refrigerados","Swordfish, marlins, Istiophoridae, fresh or chilled","Espadins, marlins, Istiophoridae, frescas o refrigeradas","Swordfish, marlins, Istiophoridae, fraîches ou réfrigérées"
03024990,"Outros peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04","Other fresh or chilled fish, excluding fish fillets and other fish meat of Heading 03.04","Otro fresco o pescado refrigerado, excepto los filetes y demás carne de pescado de la Partida 0304","Autres frais ou poisson réfrigéré, à l'exclusion des filets de poissons et autres chairs de poissons du 0304"
03025000,"Bacalhaus (gadus) frescos/refrigerados, exceto filés, etc.","Fresh/chilled cod (gadus), exc.fish filets, etc.","Bacalao(gadus)frescos/refrigerados, exc.filetes, etc","Morue (gadus), fraîches/réfrigérés (à l'exclusion des filets), etc."
03025100,"Bacalhau-do-Atlântico, da-Groelândia e do-Pacífico, fresco ou refrigerado","Cod of atlantic, pacific, greenland, fresh or chilled","Bacalao del atlántico,pacífico,groenlandia, fr. o refr.","Morue de l'Atlantique, du Pacifique, du Groenland, frais ou réfrigérés"
03025200,"Haddock ou lubina (Melanogrammus aeglefinus), fresco ou refrigerado","Haddock or lubina (melanogrammua aeglefinus), fr./ch.","Haddock o lubina (melanogrammua aeglefinus), fr./ref.","Haddock ou lubina (Melanogrammus aeglefinus), frais ou réfrigérés"
03025300,"Saithe (Pollachius virens), frescos ou refrigerados","Saithe (pollachus virens), fresh or chilled","Saithe (pollachus virens), frescos o refrigerados","Saithe (Pollachius virens), frais ou réfrigérés"
03025400,"Merluzas e abroteas (Merluccius spp., Urophycis spp.), fresco ou refrigerado","Hakes (merluccius spp., urophycis spp),fresh or chilled","Merluzas y abroteas (merluccius spp), fresco o refrig.","Whiting et le merlu (Merluccius spp., Urophycis spp.), frais ou réfrigérés"
03025500,"Merluza-do-alasca (Theragra chalcogramma), fresca ou refrigerada","Hake from alasca (theragra chalcogramma), fresh or chl.","Merluza del alasca (theragra chalcogramma),fr o refrig.","Merluza-la-Alaska (Theragra chalcogramma), frais ou réfrigérés"
03025600,"Verdinhos (Micromesistius poutassou, micromesistius australis)",Blue whiting (micromesisticus poutassou),Blue whiting (micromesisticus poutassou),"Verdinhos (Micromesistius poutassou, micromesistius australis)"
03025900,"Outros peixes das famílias bregmacerotidae, gadidae, etc.","Other fish of families bregmacerotidae, gadidae, etc.","Otros peces de familias bregmacerotidae,gadidae,etc.","Autres poissons des familles Bregmacerotidae, Gadidae, etc."
03026100,"Sardinhas, sardinelas, etc, frescas, refrigeradas, exceto filés, etc.","Fresh/chilled sardines, etc.except fish filets, etc.","Sardinas, sardinelas, etc, frescas, refrig.exc.filetes, etc","Sardines, sardinelles, etc., frais, réfrigérés, l'exclusion des filets, etc."
03026200,"Haddocks frescos ou refrigerados, exceto filés, outras carnes, etc.","Fresh/chilled haddocks, exc.fish filets oth.fish meat,","Eglefinos frescos o refriger.exc.filetes, dem.carnes, etc","Églefin, frais ou réfrigérés, à l'exception des steaks, des autres viandes, etc."
03026300,"Peixes-carvão frescos, refrigerado, exceto filés, outras carnes, etc.","Fresh/chilled coalfish, exc.fish filets oth.fish meat,","Carboneros frescos, refriger.exc.filetes, dem.carnes, etc","Poisson-charbon frais, réfrigérés, à l'exclusion des filets, les autres viandes, etc."
03026400,"Cavalas, cavalinhas, etc, frescas, refrigeradas, exceto filés, etc.","Fresh/chilled mackerel, etc.except fish filets, etc.","Caballas, etc, frescas, refrigeradas, exc.filetes, etc","Cavalinhas (Thyrsitops lepidopoides), etc, fraîches, réfrigérées, à l'exclusion des filets, etc"
03026500,"Esqualos frescos, refrigerado, exceto filés, outras carnes, etc.","Fresh/chilled dogfish, exc.fish filets oth.fish meat, etc","Escualos frescos, refriger.exc.filetes, dem.carnes, etc","Squales fraîches, réfrigérées, à l'exclusion des filets, les autres viandes, etc."
03026600,"Enguias frescas, refrigeradas, exceto filés, outras carnes, etc.","Fresh/chilled eels, exc.fish filets oth.fish meat, etc.","Anguilas frescas, refriger.exc.filetes, dem.carnes, etc","Anguilles fraîches, réfrigérées (à l'exclusion des filets), d'autres viandes, etc."
03026700,Espadartes frescos ou refrigerados,"Swordfish, fresh or chilled","Pez espada, fresco o refrigerado",Espadon fraîches ou réfrigérées
03026800,"Outros peixes frescos, refrigerados, exceto filés, outras carnes, etc.","Other fishes,  fresh,  chilled (except fillets),  etc,  other meat,  etc","Otros peces,  frescos,  refrigerados (excepto filetes),  otras carnes,  etc","Autres poissons frais/réfrigéré (sauf filets), d'autres viandes, etc."
